cell_idx,dist_mean,dist_std,yaw_mean,yaw_std,count
2300,226.7780275413307,28.48368669636031,34.69731521606445,42.71651205886304,2.0
2301,176.5070908335917,50.383785366013754,153.80018615722656,4.438536541599616,2.0
2302,251.21952373120143,,168.3591766357422,,1.0
2305,140.16176362360093,103.2532949366728,66.95933858553568,45.773712671630115,6.0
2306,128.90092928662338,61.474974608298425,105.99856795205011,62.76837167493069,9.0
2307,125.6627148319081,,106.85774230957031,,1.0
2308,221.0379636623896,,153.69143676757812,,1.0
2312,156.0575307961062,22.931524337963275,82.57675170898438,97.92116904898279,2.0
2314,207.16785721631382,38.73578582772717,50.78009281158447,62.52783338220462,5.0
2316,127.00101423825457,54.00955752548473,64.24802652994792,67.64413014365499,6.0
2318,132.46070664522264,85.14826267857822,72.67800712585449,68.18902253786075,6.0
2319,177.2824050380368,55.16256604974767,89.76414271763393,46.722127277191625,7.0
2364,122.31023980552098,120.02246350831491,110.32973861694336,18.8922810122858,2.0
2383,159.1303346677842,30.19089631811765,165.0437774658203,8.724184547288994,2.0
2386,226.69497285495737,,68.91152954101562,,1.0
2391,205.43082464296222,,101.27165222167967,,1.0
2394,146.19028514781357,91.01180769666777,75.60184955596924,39.71476709231491,6.0
2454,106.22398259969329,,32.9394989013672,,1.0
2467,35.51691043779007,,62.134979248046875,,1.0
2476,202.24451692552879,2.9293529486287895,103.76294898986815,80.29103037484619,2.0
2520,165.9835568650438,,53.022735595703125,,1.0
2526,224.37930188364493,8.16638325452491,115.45734977722168,36.4575202832114,2.0
2529,230.63600824782455,,20.170486450195312,,1.0
2531,247.56850666656467,,12.281997680664062,,1.0
2540,200.72556504718386,59.81241225488373,59.287864685058594,9.260546015788208,2.0
2553,229.86577415029365,,90.76907348632812,,1.0
2555,202.33170423180948,,45.00312805175781,,1.0
2557,140.65863027088648,92.96382029095865,45.075286865234375,63.74608201267228,2.0
2560,97.2967508403777,46.21779886761718,88.34363889694214,52.792223928649996,4.0
2561,212.60326024779934,28.709857712985517,108.74553489685059,23.366166719319715,3.0
2563,115.38848568455228,74.18070749666212,5.787895202636719,5.041692051279098,3.0
2564,117.63938028051594,,11.343414306640629,,1.0
2567,108.84899466430005,0.5048306573009844,47.57262897491455,0.23697857936002173,2.0
2569,148.87797349454482,58.61843040411406,46.46409715924944,47.25280994357377,7.0
2571,216.14452505364727,12.623637983456874,46.00031089782715,55.120097680445774,4.0
2572,172.77661677852484,64.70143409883573,78.23485235067514,46.017612575130315,13.0
2573,221.9262392550376,,65.68771362304688,,1.0
2574,153.98553961421837,56.41377122546541,62.729515438988095,54.72694523329748,21.0
2575,177.58403978810875,103.15302282287446,94.38226318359375,62.54625339402893,4.0
2576,179.65358358751922,68.86190143925933,101.33233046531677,60.363114071788,4.0
2577,160.76513056917867,96.52559227240558,102.41114902496338,75.12138408050693,4.0
2578,155.89363603713522,21.99241841324808,87.49088382720947,30.30875904239039,4.0
2579,133.46956500822105,79.19845383061102,45.49551391601562,26.01473321840088,3.0
2580,185.62032272129002,,1.4993438720703125,,1.0
2581,170.04191801680707,45.45915989217161,37.76910316944122,29.822788847322965,2.0
2582,114.16901648819695,95.1641192660203,110.75992375612259,62.5779838021848,8.0
2583,153.24266815228393,79.93796511545543,55.35923671722412,71.78117637482153,3.0
2598,185.77034676768602,72.46335135785706,103.87837982177734,73.79411727912702,2.0
2612,247.93578969967848,,52.89453125,,1.0
2622,165.27650053903366,74.00858658893053,57.81627655029297,48.26002234013859,6.0
2623,151.94624055365077,,125.36656188964841,,1.0
2624,142.79628744954834,67.15065424547464,77.01424341201782,75.6711938958377,10.0
2625,130.83322938381073,87.47700075851297,83.1240989078175,55.18410968966207,11.0
2626,172.33719767565725,,86.10942077636719,,1.0
2627,128.81616663625022,88.83139204711868,26.0845970740685,25.738810643640928,13.0
2628,147.78683325347896,67.92725470862129,83.81011668118563,73.70876761650035,22.0
2629,148.278830827417,68.94259794348788,116.1698841518826,66.14610958217548,9.0
2630,197.18355491722707,29.423516519010946,32.47915649414064,42.43812436942848,2.0
2631,214.04473030532074,,114.92742919921875,,1.0
